# Products data
product_id,product_name,price,category
1,Ноутбук,45000,Электроника
2,Смартфон,35000,Электроника
3,Планшет,25000,Электроника
4,Наушники,15000,Аксессуары
5,Мышь,5000,Аксессуары

# Regions data
region_id,region_name
1,Москва
2,Новосибирск
3,Санкт-Петербург
4,Екатеринбург
5,Казань

# Orders data
order_id,customer_id,customer_name,product_id,quantity,sales,order_date,region_id
ORD-1,CUST-1,Иванов Иван,1,2,90000,2024-03-01,1
ORD-2,CUST-2,Петров Петр,2,1,35000,2024-03-02,2
ORD-3,CUST-3,Сидоров Сидор,3,3,75000,2024-03-03,3
ORD-4,CUST-4,Смирнов Алексей,1,1,45000,2024-03-04,1
ORD-5,CUST-5,Козлов Дмитрий,2,2,70000,2024-03-05,2
ORD-6,CUST-6,Николаев Николай,3,1,25000,2024-03-06,3
ORD-7,CUST-7,Васильев Василий,1,3,135000,2024-03-07,1
ORD-8,CUST-8,Павлов Павел,2,1,35000,2024-03-08,2
ORD-9,CUST-9,Семенов Семен,3,2,50000,2024-03-09,3
ORD-10,CUST-10,Михайлов Михаил,1,1,45000,2024-03-10,1
ORD-11,CUST-11,Алексеев Алексей,4,2,30000,2024-03-11,4
ORD-12,CUST-12,Андреев Андрей,5,3,15000,2024-03-12,5
ORD-13,CUST-13,Дмитриев Дмитрий,4,1,15000,2024-03-13,1
ORD-14,CUST-14,Сергеев Сергей,5,2,10000,2024-03-14,2
ORD-15,CUST-15,Александров Александр,4,3,45000,2024-03-15,3 
